tool 1	step 1	material 1	0.869495157	318
tool 1	step 1	material 1	0.357759255	579
tool 1	step 1	material 1	0.255350443	188
tool 1	step 1	material 1	0.774128219	512
tool 1	step 1	material 1	0.272550202	110
tool 1	step 1	material 1	0.327189103	11
tool 1	step 1	material 2	0.642169036	795
tool 1	step 1	material 2	0.651917744	790
tool 1	step 1	material 2	0.759575849	597
tool 1	step 1	material 2	0.284644747	349
tool 2	step 1	material 2	0.913789601	687
tool 2	step 1	material 2	0.450131428	329
tool 2	step 1	material 3	0.335269137	550
tool 2	step 1	material 3	0.240003101	372
tool 2	step 1	material 3	0.680100259	818
tool 2	step 2	material 3	0.177084315	884
tool 2	step 2	material 3	0.409285299	525
tool 2	step 2	material 3	0.467945493	182
tool 2	step 2	material 2	0.375077091	982
tool 2	step 2	material 2	0.536814527	623
tool 3	step 2	material 2	0.479830267	610
tool 3	step 2	material 2	0.304870537	452
tool 3	step 2	material 3	0.522640386	675
tool 3	step 2	material 3	0.02014818	962
tool 3	step 2	material 3	0.279830528	714
tool 3	step 2	material 1	0.271758789	929
tool 3	step 2	material 2	0.436192934	585
tool 3	step 2	material 2	0.933186634	695
tool 3	step 2	material 3	0.73414128	983
tool 3	step 2	material 3	0.630855021	743
